Date,Box Number,Session Number,Piece Number,Seat,Watts,Catch Angle,Finish Angle,Catch Slip,Finish Slip,Length,Effective Length,Rate,Speed,Average Watts,Variance Watts,Average Effective Length,Wind Direction,Wind Speed (mph),Tide,Normalized Speed
2023-03-11,5325,140,1,1,283,-55.9,30.0,8.0,14.3,85.9,63.6,33.6,5.91,371.0,1655.42857142857,70.2125,tailwind,16,slack,5.7452087
2023-03-11,5325,140,1,2,396,-56.7,33.9,7.3,8.1,90.6,75.2,33.6,5.91,371.0,1655.42857142857,70.2125,tailwind,16,slack,5.7106314
2023-03-11,5325,140,1,3,352,-54.9,29.7,7.9,11.1,84.6,65.6,33.6,5.91,371.0,1655.42857142857,70.2125,tailwind,16,slack,5.7444263
2023-03-11,5325,140,1,4,399,-56.3,31.1,8.3,6.6,87.4,72.5,33.6,5.91,371.0,1655.42857142857,70.2125,tailwind,16,slack,5.6863594
2023-03-11,5325,140,1,5,360,-56.3,30.6,8.3,7.1,86.9,71.5,33.6,5.91,371.0,1655.42857142857,70.2125,tailwind,16,slack,5.7080064
2023-03-11,5325,140,1,6,388,-58.3,32.6,8.6,8.1,90.9,74.2,33.6,5.91,371.0,1655.42857142857,70.2125,tailwind,16,slack,5.700837
2023-03-11,5325,140,1,7,411,-57.6,30.0,10.8,7.4,87.6,69.4,33.6,5.91,371.0,1655.42857142857,70.2125,tailwind,16,slack,5.7229695
2023-03-11,5325,140,1,8,379,-60.1,30.0,8.4,12.0,90.1,69.7,33.6,5.91,371.0,1655.42857142857,70.2125,tailwind,16,slack,5.7258363
2023-03-18,5239,727,3,1,260,-57.5,28.6,6.4,10.2,86.1,69.5,35.4,5.4,293.375,644.553571428571,71.475,tailwind,10,against,5.5792146
2023-03-18,5239,727,3,2,275,-52.7,30.7,1.6,9.5,83.4,72.3,35.4,5.4,293.375,644.553571428571,71.475,tailwind,10,against,5.5868225
2023-03-18,5239,727,3,3,310,-60.5,26.9,2.8,10.8,87.4,73.8,35.4,5.4,293.375,644.553571428571,71.475,tailwind,10,against,5.5476727
2023-03-18,5239,727,3,4,317,-50.8,31.6,5.3,4.8,82.4,72.3,35.4,5.4,293.375,644.553571428571,71.475,tailwind,10,against,5.6367245
2023-03-18,5239,727,3,5,288,-53.0,34.6,3.8,11.5,87.6,72.3,35.4,5.4,293.375,644.553571428571,71.475,tailwind,10,against,5.6188107
2023-03-18,5239,727,3,6,264,-57.5,30.1,6.2,10.2,87.6,71.2,35.4,5.4,293.375,644.553571428571,71.475,tailwind,10,against,5.5999293
2023-03-18,5239,727,3,7,305,-54.3,30.1,4.5,11.8,84.4,68.1,35.4,5.4,293.375,644.553571428571,71.475,tailwind,10,against,5.6062493
2023-03-18,5239,727,3,8,328,-54.3,30.5,1.4,11.1,84.8,72.3,35.4,5.4,293.375,644.553571428571,71.475,tailwind,10,against,5.6804147
2023-03-18,5239,727,1,1,312,-57.7,28.4,5.1,8.8,86.1,72.2,35.4,5.58,324.875,455.26785714285694,73.0375,tailwind,10,against,5.6882544
2023-03-18,5239,727,1,2,319,-54.7,30.1,1.1,8.7,84.8,75.0,35.4,5.58,324.875,455.26785714285694,73.0375,tailwind,10,against,5.7033596
2023-03-18,5239,727,1,3,338,-61.6,27.0,2.9,10.8,88.6,74.9,35.4,5.58,324.875,455.26785714285694,73.0375,tailwind,10,against,5.7074733
2023-03-18,5239,727,1,4,319,-51.7,32.4,6.5,6.6,84.1,71.0,35.4,5.58,324.875,455.26785714285694,73.0375,tailwind,10,against,5.6914005
2023-03-18,5239,727,1,5,317,-53.4,34.8,3.1,10.9,88.2,74.2,35.4,5.58,324.875,455.26785714285694,73.0375,tailwind,10,against,5.7203217
2023-03-18,5239,727,1,6,295,-57.9,29.8,5.2,9.2,87.7,73.3,35.4,5.58,324.875,455.26785714285694,73.0375,tailwind,10,against,5.7764153
2023-03-18,5239,727,1,7,332,-54.6,30.3,3.6,12.1,84.9,69.2,35.4,5.58,324.875,455.26785714285694,73.0375,tailwind,10,against,5.7649627
2023-03-18,5239,727,1,8,367,-55.1,30.2,1.1,9.7,85.3,74.5,35.4,5.58,324.875,455.26785714285694,73.0375,tailwind,10,against,5.6787076
2023-03-18,5239,727,2,1,291,-57.4,29.0,6.3,10.0,86.4,70.1,35.0,4.84,311.75,392.785714285714,71.75,headwind,10,with,5.7008142
2023-03-18,5239,727,2,2,308,-54.0,30.5,1.3,9.0,84.5,74.2,35.0,4.84,311.75,392.785714285714,71.75,headwind,10,with,5.5501456
2023-03-18,5239,727,2,3,326,-60.5,27.7,3.0,11.0,88.2,74.2,35.0,4.84,311.75,392.785714285714,71.75,headwind,10,with,5.6482463
2023-03-18,5239,727,2,4,320,-51.7,31.8,6.3,6.1,83.5,71.1,35.0,4.84,311.75,392.785714285714,71.75,headwind,10,with,5.618156
2023-03-18,5239,727,2,5,293,-53.1,34.7,4.7,11.8,87.8,71.3,35.0,4.84,311.75,392.785714285714,71.75,headwind,10,with,5.685649
2023-03-18,5239,727,2,6,288,-57.9,29.6,5.7,9.7,87.5,72.1,35.0,4.84,311.75,392.785714285714,71.75,headwind,10,with,5.659492
2023-03-18,5239,727,2,7,326,-53.7,30.7,4.5,11.4,84.4,68.5,35.0,4.84,311.75,392.785714285714,71.75,headwind,10,with,5.678455
2023-03-18,5239,727,2,8,342,-54.1,30.5,1.6,10.5,84.6,72.5,35.0,4.84,311.75,392.785714285714,71.75,headwind,10,with,5.703633
2023-03-18,5253,425,2,1,310,-50.1,28.7,2.1,8.2,78.8,68.5,35.5,4.93,317.375,189.982142857143,68.0,headwind,10,with,5.6244836
2023-03-18,5253,425,2,2,331,-45.1,32.3,5.0,7.1,77.4,65.3,35.5,4.93,317.375,189.982142857143,68.0,headwind,10,with,5.78183
2023-03-18,5253,425,2,3,291,-52.4,30.9,6.0,9.4,83.3,67.9,35.5,4.93,317.375,189.982142857143,68.0,headwind,10,with,5.7146387
